Type,Days for shipment (scheduled),Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount Rate,Order Item Quantity,Sales,Order Region,Order State,Product Name,Shipping Mode,Day of Week,Month,Year,Week of Year
DEBIT,1,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Sangli,India,0.25,1,327.75,South Asia,Maharashtra,Smart watch ,First Class,5,1,2018,2
TRANSFER,1,Sporting Goods,Peabody,EE. UU.,Corporate,MA,Fitness,Pacific Asia,Sangli,India,0.0,1,327.75,South Asia,Maharashtra,Smart watch ,First Class,5,1,2018,2
DEBIT,1,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Sangli,India,0.01,1,327.75,South Asia,Maharashtra,Smart watch ,First Class,5,1,2018,2
PAYMENT,2,Sporting Goods,Canovanas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Seúl,Corea del Sur,0.02,1,327.75,Eastern Asia,Seúl,Smart watch ,Second Class,5,1,2018,2
CASH,1,Sporting Goods,Paramount,EE. UU.,Corporate,CA,Fitness,Pacific Asia,Jabalpur,India,0.029999999,1,327.75,South Asia,Madhya Pradesh,Smart watch ,First Class,5,1,2018,2
DEBIT,1,Sporting Goods,Caguas,Puerto Rico,Consumer,PR,Fitness,Pacific Asia,Jabalpur,India,0.039999999,1,327.75,South Asia,Madhya Pradesh,Smart watch ,First Class,5,1,2018,2
PAYMENT,0,Sporting Goods,Mount Prospect,EE. UU.,Consumer,IL,Fitness,Pacific Asia,Jabalpur,India,0.050000001,1,327.75,South Asia,Madhya Pradesh,Smart watch ,Same Day,5,1,2018,2
TRANSFER,0,Sporting Goods,Long Beach,EE. UU.,Corporate,CA,Fitness,Pacific Asia,Jabalpur,India,0.059999999,1,327.75,South Asia,Madhya Pradesh,Smart watch ,Same Day,5,1,2018,2
TRANSFER,4,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Jabalpur,India,0.07,1,327.75,South Asia,Madhya Pradesh,Smart watch ,Standard Class,5,1,2018,2
TRANSFER,2,Sporting Goods,Rancho Cordova,EE. UU.,Corporate,CA,Fitness,Pacific Asia,Geelong,Australia,0.090000004,1,327.75,Oceania,Victoria,Smart watch ,Second Class,5,1,2018,2
TRANSFER,2,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Geelong,Australia,0.100000001,1,327.75,Oceania,Victoria,Smart watch ,Second Class,5,1,2018,2
TRANSFER,2,Sporting Goods,Billings,EE. UU.,Corporate,MT,Fitness,Pacific Asia,Brisbane,Australia,0.119999997,1,327.75,Oceania,Queensland,Smart watch ,Second Class,5,1,2018,2
DEBIT,2,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Mandurah,Australia,0.129999995,1,327.75,Oceania,Australia Occidental,Smart watch ,Second Class,5,1,2018,2
TRANSFER,2,Sporting Goods,Wilkes Barre,EE. UU.,Consumer,PA,Fitness,Pacific Asia,Mandurah,Australia,0.150000006,1,327.75,Oceania,Australia Occidental,Smart watch ,Second Class,5,1,2018,2
PAYMENT,4,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Guilin,China,0.159999996,1,327.75,Eastern Asia,Guangxi,Smart watch ,Standard Class,5,1,2018,2
DEBIT,4,Sporting Goods,Roseville,EE. UU.,Corporate,MI,Fitness,Pacific Asia,Guilin,China,0.170000002,1,327.75,Eastern Asia,Guangxi,Smart watch ,Standard Class,5,1,2018,2
TRANSFER,4,Sporting Goods,Bellflower,EE. UU.,Consumer,CA,Fitness,Pacific Asia,Guilin,China,0.180000007,1,327.75,Eastern Asia,Guangxi,Smart watch ,Standard Class,5,1,2018,2
DEBIT,4,Sporting Goods,Caguas,Puerto Rico,Consumer,PR,Fitness,Pacific Asia,Guilin,China,0.200000003,1,327.75,Eastern Asia,Guangxi,Smart watch ,Standard Class,5,1,2018,2
DEBIT,4,Sporting Goods,Wheaton,EE. UU.,Consumer,IL,Fitness,Pacific Asia,Delhi,India,0.25,1,327.75,South Asia,Delhi,Smart watch ,Standard Class,5,1,2018,2
PAYMENT,4,Sporting Goods,Caguas,Puerto Rico,Consumer,PR,Fitness,Pacific Asia,Delhi,India,0.0,1,327.75,South Asia,Delhi,Smart watch ,Standard Class,5,1,2018,2
DEBIT,1,Sporting Goods,Detroit,EE. UU.,Consumer,MI,Fitness,Pacific Asia,Suzhou,China,0.01,1,327.75,Eastern Asia,Gansu,Smart watch ,First Class,5,1,2018,2
PAYMENT,1,Sporting Goods,Dallas,EE. UU.,Consumer,TX,Fitness,Pacific Asia,Suzhou,China,0.02,1,327.75,Eastern Asia,Gansu,Smart watch ,First Class,5,1,2018,2
PAYMENT,1,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Singapur,Singapur,0.029999999,1,327.75,Southeast Asia,Singapur,Smart watch ,First Class,5,1,2018,2
CASH,1,Sporting Goods,Carlisle,EE. UU.,Corporate,PA,Fitness,Pacific Asia,Hubli,India,0.039999999,1,327.75,South Asia,Karnataka,Smart watch ,First Class,5,1,2018,2
DEBIT,1,Sporting Goods,Dallas,EE. UU.,Corporate,TX,Fitness,Pacific Asia,Wollongong,Australia,0.050000001,1,327.75,Oceania,Nueva Gales del Sur,Smart watch ,First Class,4,1,2018,2
DEBIT,0,Sporting Goods,Caguas,Puerto Rico,Consumer,PR,Fitness,Pacific Asia,Wollongong,Australia,0.059999999,1,327.75,Oceania,Nueva Gales del Sur,Smart watch ,Same Day,4,1,2018,2
TRANSFER,0,Sporting Goods,Newark,EE. UU.,Consumer,DE,Fitness,Pacific Asia,Wollongong,Australia,0.07,1,327.75,Oceania,Nueva Gales del Sur,Smart watch ,Same Day,4,1,2018,2
PAYMENT,0,Sporting Goods,Panorama City,EE. UU.,Consumer,CA,Fitness,Pacific Asia,Singapur,Singapur,0.090000004,1,327.75,Southeast Asia,Singapur,Smart watch ,Same Day,4,1,2018,2
DEBIT,0,Sporting Goods,Caguas,Puerto Rico,Home Office,PR,Fitness,Pacific Asia,Singapur,Singapur,0.100000001,1,327.75,Southeast Asia,Singapur,Smart watch ,Same Day,4,1,2018,2
CASH,4,Sporting Goods,Atlanta,EE. UU.,Home Office,GA,Fitness,Pacific Asia,Medan,Indonesia,0.119999997,1,327.75,Southeast Asia,Sumatra Septentrional,Smart watch ,Standard Class,4,1,2018,2
PAYMENT,4,Sporting Goods,Caguas,Puerto Rico,Home Office,PR,Fitness,Pacific Asia,Medan,Indonesia,0.129999995,1,327.75,Southeast Asia,Sumatra Septentrional,Smart watch ,Standard Class,4,1,2018,2
DEBIT,4,Sporting Goods,Fremont,EE. UU.,Consumer,CA,Fitness,Pacific Asia,Canberra,Australia,0.150000006,1,327.75,Oceania,Territorio de la Capital Australiana,Smart watch ,Standard Class,4,1,2018,2
TRANSFER,4,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Bangalore,India,0.159999996,1,327.75,South Asia,Karnataka,Smart watch ,Standard Class,4,1,2018,2
TRANSFER,2,Sporting Goods,Rochester,EE. UU.,Corporate,NY,Fitness,Pacific Asia,Bangalore,India,0.170000002,1,327.75,South Asia,Karnataka,Smart watch ,Second Class,4,1,2018,2
TRANSFER,4,Sporting Goods,Dallas,EE. UU.,Corporate,TX,Fitness,Pacific Asia,Yiwu,China,0.180000007,1,327.75,Eastern Asia,Zhejiang,Smart watch ,Standard Class,4,1,2018,2
PAYMENT,2,Cleats,Bayamon,Puerto Rico,Home Office,PR,Apparel,Pacific Asia,Mirzapur,India,0.039999999,2,119.9800034,South Asia,Uttar Pradesh,Perfect Fitness Perfect Rip Deck,Second Class,2,2,2016,8
PAYMENT,2,Shop By Sport,Caguas,Puerto Rico,Home Office,PR,Golf,Pacific Asia,Bursa,Turquía,0.01,2,79.98000336,West Asia,Bursa,Under Armour Girls' Toddler Spine Surge Runni,Second Class,1,10,2016,43
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,Pacific Asia,Murray Bridge,Australia,0.039999999,2,100.0,Oceania,Australia del Sur,Nike Men's Dri-FIT Victory Golf Polo,Second Class,2,3,2016,13
PAYMENT,2,Shop By Sport,Caguas,Puerto Rico,Home Office,PR,Golf,Pacific Asia,Kartal,Turquía,0.050000001,2,79.98000336,West Asia,Estambul,Under Armour Girls' Toddler Spine Surge Runni,Second Class,6,10,2016,43
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,Pacific Asia,Ulan Bator,Mongolia,0.090000004,2,100.0,Eastern Asia,Ulán Bator,Nike Men's Dri-FIT Victory Golf Polo,Second Class,0,11,2016,48
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,Pacific Asia,Estambul,Turquía,0.129999995,2,100.0,West Asia,Estambul,Nike Men's Dri-FIT Victory Golf Polo,Second Class,5,12,2016,52
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,Pacific Asia,Raipur,India,0.180000007,2,100.0,South Asia,Rajastán,Nike Men's Dri-FIT Victory Golf Polo,Second Class,6,10,2015,43
PAYMENT,2,Electronics,Caguas,Puerto Rico,Home Office,PR,Footwear,USCA,Pasco,Estados Unidos,0.170000002,2,89.98000336,West of USA ,Washington,Under Armour Men's Compression EV SL Slide,Second Class,5,6,2016,23
PAYMENT,2,Boxing & MMA,Caguas,Puerto Rico,Home Office,PR,Footwear,USCA,Los Angeles,Estados Unidos,0.180000007,2,109.9400024,West of USA ,California,Under Armour Women's Micro G Skulpt Running S,Second Class,2,8,2016,34
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,USCA,San Francisco,Estados Unidos,0.02,2,119.9800034,West of USA ,California,Perfect Fitness Perfect Rip Deck,Second Class,2,4,2016,15
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,USCA,Overland Park,Estados Unidos,0.200000003,2,119.9800034,US Center ,Kansas,Perfect Fitness Perfect Rip Deck,Second Class,6,5,2016,20
PAYMENT,2,Cardio Equipment,Caguas,Puerto Rico,Home Office,PR,Footwear,Africa,Ugep,Nigeria,0.119999997,3,299.9700012,West Africa,Cross River,Nike Men's Free 5.0+ Running Shoe,Second Class,1,10,2016,40
PAYMENT,2,Shop By Sport,Caguas,Puerto Rico,Home Office,PR,Golf,Africa,Kinshasa,República Democrática del Congo,0.050000001,3,119.9700012,Central Africa,Kinshasa,Under Armour Girls' Toddler Spine Surge Runni,Second Class,1,11,2016,45
PAYMENT,2,Trade-In,Caguas,Puerto Rico,Home Office,PR,Outdoors,Africa,Dakar,Senegal,0.029999999,3,65.97000122,West Africa,Dakar,Glove It Women's Mod Oval 3-Zip Carry All Gol,Second Class,4,11,2016,45
PAYMENT,2,Electronics,Caguas,Puerto Rico,Home Office,PR,Outdoors,Africa,Casablanca,Marruecos,0.170000002,3,95.97000122,North Africa,Gran Casablanca,Bridgestone e6 Straight Distance NFL San Dieg,Second Class,3,12,2016,49
PAYMENT,2,Cardio Equipment,Caguas,Puerto Rico,Home Office,PR,Footwear,Europe,Dortmund,Alemania,0.02,3,299.9700012,Western Europe,Renania del Norte-Westfalia,Nike Men's Free 5.0+ Running Shoe,Second Class,1,7,2015,28
PAYMENT,2,Cardio Equipment,Caguas,Puerto Rico,Home Office,PR,Footwear,Europe,Drancy,Francia,0.100000001,3,299.9700012,Western Europe,Isla de Francia,Nike Men's Free 5.0+ Running Shoe,Second Class,5,7,2017,29
PAYMENT,2,Cardio Equipment,Caguas,Puerto Rico,Home Office,PR,Footwear,Europe,Nantes,Francia,0.25,3,299.9700012,Western Europe,Países del Loira,Nike Men's Free 5.0+ Running Shoe,Second Class,0,8,2017,32
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,Europe,Groningen,Países Bajos,0.02,3,179.9700012,Western Europe,Groningen,Perfect Fitness Perfect Rip Deck,Second Class,1,9,2015,39
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,Europe,Gateshead,Reino Unido,0.07,3,179.9700012,Northern Europe,Inglaterra,Perfect Fitness Perfect Rip Deck,Second Class,6,7,2017,26
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,Europe,Eastbourne,Reino Unido,0.090000004,3,179.9700012,Northern Europe,Inglaterra,Perfect Fitness Perfect Rip Deck,Second Class,1,9,2015,37
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,Europe,Hayange,Francia,0.100000001,3,179.9700012,Western Europe,Alsacia-Champaña-Ardenas-Lorena,Perfect Fitness Perfect Rip Deck,Second Class,6,8,2017,33
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,Europe,Drancy,Francia,0.07,3,150.0,Western Europe,Isla de Francia,Nike Men's Dri-FIT Victory Golf Polo,Second Class,5,7,2017,29
PAYMENT,2,Shop By Sport,Caguas,Puerto Rico,Home Office,PR,Golf,Europe,Portsmouth,Reino Unido,0.100000001,3,119.9700012,Northern Europe,Inglaterra,Under Armour Girls' Toddler Spine Surge Runni,Second Class,4,8,2017,31
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,Europe,Gelsenkirchen,Alemania,0.25,3,150.0,Western Europe,Renania del Norte-Westfalia,Nike Men's Dri-FIT Victory Golf Polo,Second Class,0,9,2017,38
PAYMENT,2,Trade-In,Caguas,Puerto Rico,Home Office,PR,Outdoors,Europe,Nice,Francia,0.159999996,3,65.97000122,Western Europe,Provenza-Alpes-Costa Azul,Glove It Women's Mod Oval 3-Zip Carry All Gol,Second Class,3,7,2015,27
PAYMENT,2,Cardio Equipment,Caguas,Puerto Rico,Home Office,PR,Footwear,LATAM,Petapa,Guatemala,0.0,3,299.9700012,Central America,Guatemala,Nike Men's Free 5.0+ Running Shoe,Second Class,5,3,2015,13
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,Mejicanos,El Salvador,0.01,3,179.9700012,Central America,San Salvador,Perfect Fitness Perfect Rip Deck,Second Class,6,4,2017,13
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,David,Panamá,0.050000001,3,179.9700012,Central America,Chiriquí,Perfect Fitness Perfect Rip Deck,Second Class,4,5,2017,18
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,Santo Domingo,República Dominicana,0.059999999,3,179.9700012,Caribbean,Santo Domingo,Perfect Fitness Perfect Rip Deck,Second Class,5,4,2015,17
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,Cabimas,Venezuela,0.07,3,179.9700012,South America,Zulia,Perfect Fitness Perfect Rip Deck,Second Class,5,4,2015,17
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,Cabimas,Venezuela,0.090000004,3,179.9700012,South America,Zulia,Perfect Fitness Perfect Rip Deck,Second Class,5,4,2015,17
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,Santo Domingo,República Dominicana,0.150000006,3,179.9700012,Caribbean,Santo Domingo,Perfect Fitness Perfect Rip Deck,Second Class,1,6,2017,23
PAYMENT,2,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,Dos Quebradas,Colombia,0.150000006,3,179.9700012,South America,Risaralda,Perfect Fitness Perfect Rip Deck,Second Class,5,2,2017,7
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Ilopango,El Salvador,0.0,3,150.0,Central America,San Salvador,Nike Men's Dri-FIT Victory Golf Polo,Second Class,6,4,2015,17
PAYMENT,2,Shop By Sport,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Tegucigalpa,Honduras,0.039999999,3,119.9700012,Central America,Francisco Morazán,Under Armour Girls' Toddler Spine Surge Runni,Second Class,4,4,2015,15
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Juazeiro,Brasil,0.039999999,3,150.0,South America,Bahía,Nike Men's Dri-FIT Victory Golf Polo,Second Class,1,4,2017,15
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Santo Domingo,República Dominicana,0.050000001,3,150.0,Caribbean,Santo Domingo,Nike Men's Dri-FIT Victory Golf Polo,Second Class,5,4,2015,17
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Mexico City,México,0.07,3,150.0,Central America,Distrito Federal,Nike Men's Dri-FIT Victory Golf Polo,Second Class,3,3,2017,11
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Tlaquepaque,México,0.119999997,3,150.0,Central America,Jalisco,Nike Men's Dri-FIT Victory Golf Polo,Second Class,6,3,2015,13
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Puebla,México,0.119999997,3,150.0,Central America,Puebla,Nike Men's Dri-FIT Victory Golf Polo,Second Class,1,2,2015,6
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Puebla,México,0.129999995,3,150.0,Central America,Puebla,Nike Men's Dri-FIT Victory Golf Polo,Second Class,1,2,2015,6
PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Mexico City,México,0.170000002,3,150.0,Central America,Distrito Federal,Nike Men's Dri-FIT Victory Golf Polo,Second Class,5,2,2017,7
PAYMENT,2,Shop By Sport,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,São Paulo,Brasil,0.170000002,3,119.9700012,South America,São Paulo,Under Armour Girls' Toddler Spine Surge Runni,Second Class,2,1,2017,3
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Montevideo,Uruguay,0.039999999,5,250.0,South America,Montevideo,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,4,3,2015,11
TRANSFER,4,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Buenos Aires,Argentina,0.050000001,5,199.9499969,South America,Buenos Aires,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,1,2,2017,6
TRANSFER,4,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,São Paulo,Brasil,0.059999999,5,199.9499969,South America,São Paulo,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,4,4,2015,14
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Barueri,Brasil,0.059999999,5,250.0,South America,São Paulo,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,3,4,2017,15
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Arapongas,Brasil,0.059999999,5,250.0,South America,Paraná,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,3,4,2015,14
TRANSFER,4,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Camagüey,Cuba,0.090000004,5,150.0,Caribbean,Camagüey,Columbia Men's PFG Anchor Tough T-Shirt,Standard Class,1,1,2017,5
TRANSFER,4,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Las Tunas,Cuba,0.090000004,5,199.9499969,Caribbean,Las Tunas,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,3,3,2017,13
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Santo Domingo,República Dominicana,0.100000001,5,250.0,Caribbean,Santo Domingo,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,5,3,2017,12
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Tepic,México,0.100000001,5,250.0,Central America,Nayarit,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,6,2,2017,5
TRANSFER,4,Shop By Sport,Guayama,Puerto Rico,Consumer,PR,Golf,LATAM,San Miguelito,Panamá,0.129999995,5,199.9499969,Central America,Panamá,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,5,4,2017,15
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Ixtapaluca,México,0.129999995,5,250.0,Central America,México,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,6,2,2015,7
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Maceió,Brasil,0.129999995,5,250.0,South America,Alagoas,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,5,5,2017,21
TRANSFER,4,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,David,Panamá,0.150000006,5,199.9499969,Central America,Chiriquí,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,2,2,2015,9
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Belo Horizonte,Brasil,0.150000006,5,250.0,South America,Minas Gerais,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2,5,2017,22
TRANSFER,4,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Santiago de Cuba,Cuba,0.159999996,5,199.9499969,Caribbean,Santiago de Cuba,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,3,1,2015,3
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,San Pedro Sula,Honduras,0.170000002,5,250.0,Central America,Cortés,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2,4,2017,17
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Lima,Perú,0.170000002,5,250.0,South America,Lima (ciudad),Nike Men's Dri-FIT Victory Golf Polo,Standard Class,1,3,2017,10
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Holguín,Cuba,0.200000003,5,250.0,Caribbean,Holguín,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,3,4,2017,16
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Orizaba,México,0.200000003,5,250.0,Central America,Veracruz,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,4,3,2017,9
TRANSFER,4,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Managua,Nicaragua,0.25,5,199.9499969,Central America,Managua,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,6,6,2017,22
TRANSFER,4,Women's Apparel,Juana Diaz,Puerto Rico,Consumer,PR,Golf,LATAM,Villahermosa,México,0.25,5,250.0,Central America,Tabasco,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,1,5,2017,20
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Buenos Aires,Argentina,0.25,5,250.0,South America,Buenos Aires,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,1,2,2017,6
TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Quixadá,Brasil,0.25,5,250.0,South America,Ceará,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2,5,2015,22
TRANSFER,4,Electronics,Caguas,Puerto Rico,Consumer,PR,Outdoors,LATAM,Mejicanos,El Salvador,0.01,5,239.9499969,Central America,San Salvador,Titleist Pro V1x Golf Balls,Standard Class,1,3,2017,13
TRANSFER,4,Electronics,Caguas,Puerto Rico,Consumer,PR,Outdoors,LATAM,Tepic,México,0.039999999,5,159.9499969,Central America,Nayarit,Bridgestone e6 Straight Distance NFL Tennesse,Standard Class,6,2,2017,5
TRANSFER,4,Kids' Golf Clubs,Guayama,Puerto Rico,Consumer,PR,Outdoors,LATAM,Mixco,Guatemala,0.119999997,5,449.9500122,Central America,Guatemala,Polar FT4 Heart Rate Monitor,Standard Class,1,5,2017,18
TRANSFER,4,Hunting & Shooting,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Nueva Gerona,Cuba,0.170000002,5,149.9499969,Caribbean,Isla de la Juventud,ENO Atlas Hammock Straps,Standard Class,0,4,2017,14
TRANSFER,4,Baseball & Softball,Caguas,Puerto Rico,Consumer,PR,Fitness,LATAM,Buenos Aires,Argentina,0.050000001,5,299.9500122,South America,Buenos Aires,adidas Men's F10 Messi TRX FG Soccer Cleat,Standard Class,3,4,2015,18
TRANSFER,4,Cardio Equipment,Caguas,Puerto Rico,Consumer,PR,Footwear,LATAM,Chimaltenango,Guatemala,0.0,5,499.9500122,Central America,Chimaltenango,Nike Men's Free 5.0+ Running Shoe,Standard Class,3,4,2017,17
